#plate-ifu   agc   sep   dv   mhi   mhilim200   rms
10514-12702       715603       17.4807       2.62588       9.92000       -1.0000000       2.79403
10514-12703       191255       7.01605       1.22874       9.55000       -1.0000000       2.54027
10514-12704       191295       8.64422       6.07542       9.63000       -1.0000000       2.73463
10514-12705         5138       29.7081       25.1977       9.42000       -1.0000000       2.83331
10514-1901           -1      -1.00000      -1.00000      -1.00000        9.1226232       2.75997
10514-3701           -1      -1.00000      -1.00000      -1.00000        8.9097150       2.61644
10514-3702           -1      -1.00000      -1.00000      -1.00000        10.275243       3.00882
10514-3703           -1      -1.00000      -1.00000      -1.00000        9.0627057       2.74654
10514-3704           -1      -1.00000      -1.00000      -1.00000        10.412560       3.38798
10514-6101           -1      -1.00000      -1.00000      -1.00000        9.8154072       2.98045
10514-6102           -1      -1.00000      -1.00000      -1.00000        10.824807       3.69490
10514-6103           -1      -1.00000      -1.00000      -1.00000        9.8846402       3.05147
10514-6104           -1      -1.00000      -1.00000      -1.00000        9.1205313       2.64764
10514-9101       193084       15.5394       8.08428       9.84000       -1.0000000       3.03265
10514-9102         5159       5.37129      0.129720       9.40000       -1.0000000       2.62622
10516-12701         5399       20.5367       10.8696       9.29000       -1.0000000       2.71877
10516-12702           -1      -1.00000      -1.00000      -1.00000        9.7906478       3.36724
10516-12703           -1      -1.00000      -1.00000      -1.00000        9.6734691       2.91658
10516-12704       204251       14.1667       18.1379       9.89000       -1.0000000       2.99845
10516-12705       204469       47.0413       1.48946       9.51000       -1.0000000       2.54325
10516-1901       201268       33.5883       3.47950       9.61000       -1.0000000       2.71782
10516-1902           -1      -1.00000      -1.00000      -1.00000        9.0778075       2.69380
10516-3701       204463       46.2435       6.42364       9.77000       -1.0000000       3.43209
10516-3702       204474       65.9472       65.1682       9.22000       -1.0000000       2.83376
10516-3703           -1      -1.00000      -1.00000      -1.00000        9.2903562       2.80771
10516-3704           -1      -1.00000      -1.00000      -1.00000        9.0789504       2.85757
10516-6101           -1      -1.00000      -1.00000      -1.00000        9.4274056       3.21697
10516-6102       204470       31.8558       10.5200       9.57000       -1.0000000       2.87657
10516-6103           -1      -1.00000      -1.00000      -1.00000        10.511323       3.55681
10516-6104       201281       8.58291       24.6940       9.69000       -1.0000000       2.67157
10516-9101           -1      -1.00000      -1.00000      -1.00000        9.0665986       2.74575
10516-9102       204261       10.4472       16.2288       9.42000       -1.0000000       2.54214
10517-12701         5357       15.3438       10.3027       9.18000       -1.0000000       2.42817
10517-12703           -1      -1.00000      -1.00000      -1.00000        10.011032       2.95765
10517-12704           -1      -1.00000      -1.00000      -1.00000        8.5694463       2.44619
10517-12705           -1      -1.00000      -1.00000      -1.00000        10.816030       3.37641
10517-1901       203619       23.3660       40.2100       8.90000       -1.0000000       2.52337
10517-1902           -1      -1.00000      -1.00000      -1.00000        9.4194129       2.72441
10517-3701           -1      -1.00000      -1.00000      -1.00000        9.6618678       2.72425
10517-3702       205339       34.8083       9.62914       9.76000       -1.0000000       2.78534
10517-3703           -1      -1.00000      -1.00000      -1.00000        8.5741263       2.37690
10517-3704           -1      -1.00000      -1.00000      -1.00000        9.3638579       3.16333
10517-6101           -1      -1.00000      -1.00000      -1.00000        9.8625868       2.86343
10517-6102           -1      -1.00000      -1.00000      -1.00000        9.3329937       2.79233
10517-6103           -1      -1.00000      -1.00000      -1.00000        8.5864046       2.44832
10517-6104       203622       33.6446       3.87362       9.78000       -1.0000000       2.54874
10517-9101       192968       47.7163       5.96510       9.92000       -1.0000000       2.81739
10517-9102       204061       81.3237       84.6099       9.15000       -1.0000000       2.76639
10519-12701           -1      -1.00000      -1.00000      -1.00000        10.025789       2.60196
10519-12702           -1      -1.00000      -1.00000      -1.00000        9.6517995       2.84404
10519-12703           -1      -1.00000      -1.00000      -1.00000        10.415823       2.88864
10519-12704         5573       34.7230       17.8352       10.2200       -1.0000000       2.50259
10519-12705           -1      -1.00000      -1.00000      -1.00000        9.9831362       2.72009
10519-1901           -1      -1.00000      -1.00000      -1.00000        9.2515065       2.60400
10519-3701           -1      -1.00000      -1.00000      -1.00000        10.041498       2.61583
10519-3702           -1      -1.00000      -1.00000      -1.00000        10.048841       2.65501
10519-3703           -1      -1.00000      -1.00000      -1.00000        10.579434       3.10940
10519-3704           -1      -1.00000      -1.00000      -1.00000        10.182730       3.18793
10519-6102           -1      -1.00000      -1.00000      -1.00000        9.6972302       2.72365
10519-6103           -1      -1.00000      -1.00000      -1.00000        9.6764224       2.61007
10519-6104           -1      -1.00000      -1.00000      -1.00000        10.063338       2.77097
10519-9101           -1      -1.00000      -1.00000      -1.00000        10.475484       2.93868
10519-9102       201371       14.9241       9.60592       10.0200       -1.0000000       2.72629
7495-12701           -1      -1.00000      -1.00000      -1.00000        9.9184140       2.55489
7495-12702         8652       28.0480       2.70974       10.1400       -1.0000000       2.48847
7495-12703       230635       3.35195       9.79482       9.84000       -1.0000000       2.42974
7495-12704       230573       27.3270       54.7623       9.58000       -1.0000000       2.35496
7495-12705           -1      -1.00000      -1.00000      -1.00000        10.132224       2.69412
7495-1901           -1      -1.00000      -1.00000      -1.00000        9.2389741       2.41385
7495-1902           -1      -1.00000      -1.00000      -1.00000        9.3218563       2.39549
7495-3701           -1      -1.00000      -1.00000      -1.00000        9.9295497       2.18729
7495-3702       230532       13.1787       26.2908       9.41000       -1.0000000       2.39738
7495-3703           -1      -1.00000      -1.00000      -1.00000        9.2120011       2.31518
7495-3704           -1      -1.00000      -1.00000      -1.00000        9.2937411       2.45737
7495-6101           -1      -1.00000      -1.00000      -1.00000        9.1534994       2.29952
7495-6102       230493       4.61003       15.6308       9.74000       -1.0000000       2.45989
7495-6103           -1      -1.00000      -1.00000      -1.00000        9.1997411       2.38753
7495-6104       732726       70.2752       14.0006       9.26000       -1.0000000       2.39149
7495-9101           -1      -1.00000      -1.00000      -1.00000        9.3616960       2.52926
7495-9102           -1      -1.00000      -1.00000      -1.00000        9.2474960       2.43090
7977-12701           -1      -1.00000      -1.00000      -1.00000        10.338405       2.95653
7977-12702           -1      -1.00000      -1.00000      -1.00000        10.555796       2.86220
7977-12703           -1      -1.00000      -1.00000      -1.00000        10.087931       2.59222
7977-12704       320055       11.2404       15.7671       9.75000       -1.0000000       2.39593
7977-12705        11939       6.56292       14.7797       10.1500       -1.0000000       2.63776
7977-1901       320009       114.255       141.141       10.1700       -1.0000000       3.01639
7977-1902           -1      -1.00000      -1.00000      -1.00000        9.5960603       3.55307
