plateifu,stellar_pa,halpha_pa,pa_offset,stel_qual,stel_feature,halpha_qual,halpha_feature,halpha_notes
10496-6103,189,212.5,23.5,0,0,0,0,0
10496-6104,46,345.5,60.5,0,0,0,0,0
10496-9101,201,151,50,0,0,0,0,0
10497-12701,119.5,299.5,180,0,0,0,0,0
10497-12702,307.5,302,5.5,0,0,0,0,0
10497-12704,231.5,257,25.5,0,0,0,0,0
10497-3703,150,171,21,0,0,0,0,0
10497-6102,179,73.5,105.5,0,0,0,0,0
10498-12703,341,43.5,62.5,0,0,0,0,0
10498-12704,,,,0,0,0,0,0
10498-3702,237.5,282.5,45,0,0,0,0,0
10498-3703,264,140,124,0,0,0,0,0
10498-6101,219,304.5,85.5,0,0,0,0,0
10498-6102,297,53.5,116.5,0,0,0,0,0
10498-9102,331,198.5,132.5,0,0,0,0,0
10499-12702,344.5,77,92.5,0,0,0,0,0
10499-1901,248.5,248.5,0,0,0,0,0,0
10499-9101,229,97.5,131.5,0,0,0,0,0
10503-3702,103.5,255.5,152,0,0,0,0,0
10503-6101,281.5,309.5,28,0,0,0,0,0
10503-6103,176.5,326.5,150,0,0,0,0,0
10503-9101,286,285,1,0,0,0,0,0
10504-12705,309.5,237.5,72,0,0,0,0,0
10504-3701,18,59,41,0,0,0,0,0
10506-12701,56,41.5,14.5,0,0,0,0,0
10506-3704,204.5,292.5,88,0,0,0,0,0
10507-12701,131.5,245,113.5,0,0,0,0,0
10508-6102,238,259,21,0,0,0,0,0
10508-9101,130.5,259.5,129,0,0,0,0,0
10508-9102,265,181,84,0,0,0,0,0
10509-12704,102,342.5,119.5,0,0,0,0,0
10509-9102,296,242,54,0,0,0,0,0
10510-1902,45,45,0,0,0,0,0,0
10510-3701,264.5,139.5,125,0,0,0,0,0
10510-3702,100.5,321,139.5,0,0,0,0,0
10510-6102,9.5,168.5,159,0,0,0,0,0
10510-6104,355,20.5,25.5,0,0,0,0,0
10511-12702,191,157,34,0,0,0,0,0
10511-3702,177,9,168,0,0,0,0,0
10511-6103,124,112.5,11.5,0,0,0,0,0
10511-9101,142.5,108.5,34,0,0,0,0,0
10511-9102,52.5,63,10.5,0,0,0,0,0
10512-3702,126.5,130.5,4,0,0,0,0,0
10514-3702,305,60.5,115.5,0,0,0,0,0
10514-3704,87.5,73,14.5,0,0,0,0,0
10516-12703,312.5,125.5,173,0,0,0,0,0
10517-12704,307,311.5,4.5,0,0,0,0,0
10517-12705,35.5,354.5,41,0,0,0,0,0
10517-1901,77.5,252,174.5,0,0,0,0,0
10517-6103,357.5,305,52.5,0,0,0,0,0
10519-12703,314,1.5,47.5,0,0,0,0,0
10519-3704,253,316.5,63.5,0,0,0,0,0
7443-1902,6.5,46,39.5,0,0,0,0,0
7443-3701,301,147.5,153.5,0,0,0,0,0
7443-3702,77.5,156,78.5,0,0,0,0,0
7443-3703,,,,0,0,0,0,0
7443-3704,7,59.5,52.5,0,0,0,0,0
7443-9102,193.5,23.5,170,0,0,0,0,0
7495-1901,351.5,340.5,11,0,0,0,0,0
7495-9101,242.5,244,1.5,0,0,0,0,0
7815-3703,23,138.5,115.5,0,0,0,0,0
7815-6102,74,89,15,0,0,0,0,0
7957-12701,135.5,146,10.5,0,0,0,0,0
7958-12701,115.5,160,44.5,0,0,0,0,0
7958-12702,175.5,184,8.5,0,0,0,0,0
7958-1901,318.5,316,2.5,0,0,0,0,0
7958-3701,160.5,255,94.5,0,0,0,0,0
7958-6102,196.5,231,34.5,0,0,0,0,0
7960-9102,17.5,130,112.5,0,0,0,0,0
7962-3702,89,112,23,0,0,0,0,0
7962-6101,190,321.5,131.5,0,0,0,0,0
7962-9102,21,279,102,0,0,0,0,0
7964-1902,67.5,349.5,78,0,0,0,0,0
7964-6102,299,340.5,41.5,0,0,0,0,0
7968-3701,315,315,0,0,0,0,0,0
7968-6104,78.5,184.5,106,0,0,0,0,0
7972-12705,308,292.5,15.5,0,0,0,0,0
7972-9102,209.5,141,68.5,0,0,0,0,0
7975-6103,81.5,259,177.5,0,0,0,0,0
7977-12702,335,347.5,12.5,0,0,0,0,0
7977-1901,189.5,272.5,83,0,0,0,0,0
7977-6102,191.5,246.5,55,0,0,0,0,0
7979-12703,336.5,184.5,152,0,0,0,0,0
7979-6101,7.5,25,17.5,0,0,0,0,0
7990-12705,179.5,108.5,71,0,0,0,0,0
7991-9102,118,52,66,0,0,0,0,0
7992-12701,43.5,64,20.5,0,0,0,0,0
7992-12703,91.5,116.5,25,0,0,0,0,0
7992-12704,178.5,142.5,36,0,0,0,0,0
7992-12705,45.5,30.5,15,0,0,0,0,0
7993-12703,92,257.5,165.5,0,0,0,0,0
7993-6101,121,200.5,79.5,0,0,0,0,0
7993-6102,244.5,62.5,178,0,0,0,0,0
7993-9101,308,108,160,0,0,0,0,0
7993-9102,85,351.5,93.5,0,0,0,0,0
8077-12701,277,277,0,0,0,0,0,0
8077-1901,226.5,227,0.5,0,0,0,0,0
8077-9102,324,277.5,46.5,0,0,0,0,0
8078-12702,202.5,179,23.5,0,0,0,0,0
8078-12705,333,332.5,0.5,0,0,0,0,0
8078-3703,306,345.5,39.5,0,0,0,0,0
8078-6101,149.5,47,102.5,0,0,0,0,0
8079-1901,283.5,309.5,26,0,0,0,0,0
8079-6101,83.5,150.5,67,0,0,0,0,0
8080-1901,175.5,103,72.5,0,0,0,0,0
8081-12701,76.5,309.5,127,0,0,0,0,0
8081-12705,97,124.5,27.5,0,0,0,0,0
8081-3702,182.5,155.5,27,0,0,0,0,0
8082-12705,9.5,36.5,27,0,0,0,0,0
8082-6101,250,297,47,0,0,0,0,0
8083-1902,295.5,319,23.5,0,0,0,0,0
8083-3701,204.5,196,8.5,0,0,0,0,0
8083-6104,247,35,148,0,0,0,0,0
8084-1901,120,48,72,0,0,0,0,0
8084-3704,166,157.5,8.5,0,0,0,0,0
8084-9101,188,256.5,68.5,0,0,0,0,0
8085-12702,148,155.5,7.5,0,0,0,0,0
8085-12703,103.5,32,71.5,0,0,0,0,0
8085-12705,219,218.5,0.5,0,0,0,0,0
8085-3702,359,238,121,0,0,0,0,0
8086-12701,160.5,158.5,2,0,0,0,0,0
8086-6101,315.5,172,143.5,0,0,0,0,0
8086-6104,44,57,13,0,0,0,0,0
8097-12702,105,64,41,0,0,0,0,0
8097-1902,162,76.5,85.5,0,0,0,0,0
8097-6103,267,183,84,0,0,0,0,0
8097-9101,341.5,299,42.5,0,0,0,0,0
8131-12705,75.5,76,0.5,0,0,0,0,0
8131-1901,36.5,71,34.5,0,0,0,0,0
8131-3704,280,82,162,0,0,0,0,0
8132-12701,23,40.5,17.5,0,0,0,0,0
8132-3701,134,258.5,124.5,0,0,0,0,0
8132-3703,317,7,50,0,0,0,0,0
8132-6103,92,134,42,0,0,0,0,0
8133-3704,279.5,306.5,27,0,0,0,0,0
8134-1902,184.5,358.5,174,0,0,0,0,0
8134-3702,256.5,237.5,19,0,0,0,0,0
8134-6101,155,127,28,0,0,0,0,0
8134-9101,335.5,122.5,147,0,0,0,0,0
8135-1901,121,57,64,0,0,0,0,0
8135-3703,319,121.5,162.5,0,0,0,0,0
8135-9101,267.5,20,112.5,0,0,0,0,0
8137-6101,204,291.5,87.5,0,0,0,0,0
8137-9101,258.5,313.5,55,0,0,0,0,0
8138-3704,124.5,118.5,6,0,0,0,0,0
8139-12702,76.5,226.5,150,0,0,0,0,0
8139-12703,131,107,24,0,0,0,0,0
8139-12704,299,344.5,45.5,0,0,0,0,0
8139-1901,356,12,16,0,0,0,0,0
8140-1901,99,76.5,22.5,0,0,0,0,0
8140-3703,130.5,113.5,17,0,0,0,0,0
8140-3704,136,230.5,94.5,0,0,0,0,0
8140-6102,110,138,28,0,0,0,0,0
8141-6104,105.5,90,15.5,0,0,0,0,0
8141-9101,79.5,68.5,11,0,0,0,0,0
8143-12701,57.5,165.5,108,0,0,0,0,0
8144-1902,60,340.5,79.5,0,0,0,0,0
8144-6102,23.5,308,75.5,0,0,0,0,0
8145-12702,53.5,142.5,89,0,0,0,0,0
8145-6101,292,239,53,0,0,0,0,0
8145-6102,10.5,187.5,177,0,0,0,0,0
8146-12704,210.5,223.5,13,0,0,0,0,0
8146-3704,196.5,20,176.5,0,0,0,0,0
8146-6101,222,103,119,0,0,0,0,0
8146-6103,321,280.5,40.5,0,0,0,0,0
8147-12702,340,69.5,89.5,0,0,0,0,0
8147-12704,326.5,326.5,0,0,0,0,0,0
8148-3702,220.5,327.5,107,0,0,0,0,0
8149-9101,154,154,0,0,0,0,0,0
8150-12702,114,101,13,0,0,0,0,0
8150-1901,146.5,329.5,177,0,0,0,0,0
8150-3703,10.5,3,7.5,0,0,0,0,0
8150-3704,353.5,238,115.5,0,0,0,0,0
8153-12703,321.5,1.5,40,0,0,0,0,0
8153-3703,29.5,77,47.5,0,0,0,0,0
8153-6101,210.5,114.5,96,0,0,0,0,0
8153-9101,75.5,63.5,12,0,0,0,0,0
8154-3702,201.5,50,151.5,0,0,0,0,0
8155-12703,182,163.5,18.5,0,0,0,0,0
8155-12705,218.5,306,87.5,0,0,0,0,0
8155-1901,281,126,155,0,0,0,0,0
8155-1902,275,106.5,168.5,0,0,0,0,0
8155-9101,60,125,65,0,0,0,0,0
8156-12701,235,218.5,16.5,0,0,0,0,0
8156-12703,255.5,260,4.5,0,0,0,0,0
8156-12704,316,302.5,13.5,0,0,0,0,0
8156-3704,82.5,229.5,147,0,0,0,0,0
8156-6103,340.5,289.5,51,0,0,0,0,0
8156-6104,178,76.5,101.5,0,0,0,0,0
8158-12703,307,264,43,0,0,0,0,0
8158-12704,338.5,229,109.5,0,0,0,0,0
8158-3702,94,274,180,0,0,0,0,0
8158-3703,,,,0,0,0,0,0
8158-3704,322.5,215,107.5,0,0,0,0,0
8239-12701,150.5,67.5,83,0,0,0,0,0
8239-12703,336,156,180,0,0,0,0,0
8239-1901,163,196,33,0,0,0,0,0
8239-6103,326.5,99.5,133,0,0,0,0,0
8241-3701,121.5,22.5,99,0,0,0,0,0
8241-6103,202.5,274.5,72,0,0,0,0,0
8241-6104,75,281,154,0,0,0,0,0
8243-12702,279.5,307,27.5,0,0,0,0,0
8243-12703,269,9,100,0,0,0,0,0
8244-12701,82,148.5,66.5,0,0,0,0,0
8244-9102,310.5,72.5,122,0,0,0,0,0
8245-3703,32,91.5,59.5,0,0,0,0,0
8245-6101,18,39.5,21.5,0,0,0,0,0
8245-9102,330.5,133.5,163,0,0,0,0,0
8247-9102,356.5,6,9.5,0,0,0,0,0
8248-12701,173,146.5,26.5,0,0,0,0,0
8248-3702,143.5,205.5,62,0,0,0,0,0
8248-6101,104.5,14.5,90,0,0,0,0,0
8248-6103,57,175,118,0,0,0,0,0
8248-6104,307,9,62,0,0,0,0,0
8248-9101,107,309.5,157.5,0,0,0,0,0
8249-12702,55.5,17.5,38,0,0,0,0,0
8249-9102,148.5,79,69.5,0,0,0,0,0
8250-12701,136,125,11,0,0,0,0,0
8250-12703,247,231.5,15.5,0,0,0,0,0
8250-3703,226,126,100,0,0,0,0,0
8252-12701,67,343.5,83.5,0,0,0,0,0
8253-12702,35.5,353.5,42,0,0,0,0,0
8253-12705,80,44,36,0,0,0,0,0
8253-3704,14,338,36,0,0,0,0,0
8253-6102,288,239.5,48.5,0,0,0,0,0
8254-6101,6,213,153,0,0,0,0,0
8254-6104,136.5,150,13.5,0,0,0,0,0
8255-3704,173,212.5,39.5,0,0,0,0,0
8256-12704,315.5,182.5,133,0,0,0,0,0
8256-1902,92,231,139,0,0,0,0,0
8257-1901,260,231,29,0,0,0,0,0
8257-6104,120.5,21.5,99,0,0,0,0,0
8259-12704,123.5,122.5,1,0,0,0,0,0
8259-12705,79.5,349,90.5,0,0,0,0,0
8260-1902,272.5,164.5,108,0,0,0,0,0
8261-12702,191.5,225.5,34,0,0,0,0,0
8261-3703,42,287,115,0,0,0,0,0
8274-1902,156,284,128,0,0,0,0,0
8274-6103,115.5,195.5,80,0,0,0,0,0
8309-12702,239.5,157,82.5,0,0,0,0,0
8309-12704,144.5,275,130.5,0,0,0,0,0
8309-3703,,,,0,0,0,0,0
8309-6102,27.5,198,170.5,0,0,0,0,0
8311-9102,164.5,298,133.5,0,0,0,0,0
8314-6104,315.5,72,116.5,0,0,0,0,0
8315-12701,169.5,131,38.5,0,0,0,0,0
8315-12702,219,85.5,133.5,0,0,0,0,0
8315-6102,95.5,320.5,135,0,0,0,0,0
8317-12701,63,129,66,0,0,0,0,0
8317-1902,359.5,359.5,0,0,0,0,0,0
8317-3704,25.5,148.5,123,0,0,0,0,0
8319-12701,349.5,335.5,14,0,0,0,0,0
8319-6101,340,33.5,53.5,0,0,0,0,0
8319-9102,188,28.5,159.5,0,0,0,0,0
8322-3704,258,28,130,0,0,0,0,0
8323-12702,169.5,232.5,63,0,0,0,0,0
8323-9101,215.5,272,56.5,0,0,0,0,0
8324-3703,283.5,95.5,172,0,0,0,0,0
8325-12704,92,103.5,11.5,0,0,0,0,0
8326-12705,264.5,253,11.5,0,0,0,0,0
8326-9101,13.5,231,142.5,0,0,0,0,0
8328-12703,184.5,157.5,27,0,0,0,0,0
8328-3702,308,25,77,0,0,0,0,0
8328-6104,228.5,179,49.5,0,0,0,0,0
8329-12705,85,145.5,60.5,0,0,0,0,0
8329-3701,217,198.5,18.5,0,0,0,0,0
8329-3703,103,199,96,0,0,0,0,0
8329-3704,131.5,272,140.5,0,0,0,0,0
8329-6101,147.5,239.5,92,0,0,0,0,0
8330-12705,206,285.5,79.5,0,0,0,0,0
8331-12701,193.5,78.5,115,0,0,0,0,0
8331-6103,74.5,149.5,75,0,0,0,0,0
8331-9102,290.5,91,160.5,0,0,0,0,0
8332-1901,,,,0,0,0,0,0
8333-12702,73.5,56.5,17,0,0,0,0,0
8333-12704,99,116,17,0,0,0,0,0
8333-3703,242.5,7.5,125,0,0,0,0,0
8333-6103,90.5,12,78.5,0,0,0,0,0
8333-6104,310,219,91,0,0,0,0,0
8333-9101,140,160,20,0,0,0,0,0
8333-9102,191,54,137,0,0,0,0,0
8335-12704,198,205.5,7.5,0,0,0,0,0
8335-6103,167.5,241,73.5,0,0,0,0,0
8335-9101,359,289.5,69.5,0,0,0,0,0
8336-3702,349,176,173,0,0,0,0,0
8337-3702,236,254,18,0,0,0,0,0
8338-12705,212.5,11,158.5,0,0,0,0,0
8438-12703,71.5,70,1.5,0,0,0,0,0
8440-12702,293.5,216,77.5,0,0,0,0,0
8440-6101,196.5,184,12.5,0,0,0,0,0
8442-6104,2.5,245,117.5,0,0,0,0,0
8444-6101,349.5,86.5,97,0,0,0,0,0
8445-12703,91.5,121,29.5,0,0,0,0,0
8445-6104,343,255.5,87.5,0,0,0,0,0
8446-3702,314,6.5,52.5,0,0,0,0,0
8446-6102,333,127.5,154.5,0,0,0,0,0
8446-6103,331.5,261.5,70,0,0,0,0,0
8447-12703,360,180,180,0,0,0,0,0
8447-12705,41,20.5,20.5,0,0,0,0,0
8447-6104,303.5,3,59.5,0,0,0,0,0
8448-12701,16.5,2,14.5,0,0,0,0,0
8448-6101,308,247.5,60.5,0,0,0,0,0
8448-9102,149,288,139,0,0,0,0,0
8449-3704,257,25.5,128.5,0,0,0,0,0
8449-6101,217,240,23,0,0,0,0,0
8449-9101,99,99,0,0,0,0,0,0
8450-3701,348,274.5,73.5,0,0,0,0,0
8451-12701,333.5,268.5,65,0,0,0,0,0
8451-1901,185,195,10,0,0,0,0,0
8451-1902,133.5,286,152.5,0,0,0,0,0
8451-6102,212,168.5,43.5,0,0,0,0,0
8452-9101,348,60,72,0,0,0,0,0
8453-3703,204.5,253,48.5,0,0,0,0,0
8453-6103,271,34.5,123.5,0,0,0,0,0
8453-9101,185,148,37,0,0,0,0,0
8454-12701,193.5,142,51.5,0,0,0,0,0
8454-12704,161.5,200,38.5,0,0,0,0,0
8454-1901,287,344.5,57.5,0,0,0,0,0
8454-1902,171.5,208,36.5,0,0,0,0,0
8454-6102,134,205,71,0,0,0,0,0
8454-6103,193,168,25,0,0,0,0,0
8455-12703,129.5,232,102.5,0,0,0,0,0
8455-12704,244,254,10,0,0,0,0,0
8455-1901,110.5,73.5,37,0,0,0,0,0
8455-6103,316.5,258,58.5,0,0,0,0,0
8455-6104,67,184.5,117.5,0,0,0,0,0
8456-3702,110.5,151.5,41,0,0,0,0,0
8456-6104,179.5,60,119.5,0,0,0,0,0
8458-1901,144,207.5,63.5,0,0,0,0,0
8458-6103,326,312,14,0,0,0,0,0
8458-9101,62,70,8,0,0,0,0,0
8459-12701,146.5,51.5,95,0,0,0,0,0
8459-3701,131.5,227,95.5,0,0,0,0,0
8459-6103,121.5,229.5,108,0,0,0,0,0
8461-1902,97.5,129.5,32,0,0,0,0,0
8461-6104,200,24,176,0,0,0,0,0
8461-9101,269.5,156,113.5,0,0,0,0,0
8462-6103,,,,0,0,0,0,0
8464-1901,75,311.5,123.5,0,0,0,0,0
8464-6101,309.5,210,99.5,0,0,0,0,0
8465-1902,245.5,271.5,26,0,0,0,0,0
8465-3702,287.5,247,40.5,0,0,0,0,0
8465-6101,278.5,227,51.5,0,0,0,0,0
8466-3703,260.5,84,176.5,0,0,0,0,0
8466-6101,11,206.5,164.5,0,0,0,0,0
8466-6103,18,99,81,0,0,0,0,0
8466-6104,150.5,128.5,22,0,0,0,0,0
8481-3704,259.5,21.5,122,0,0,0,0,0
8481-6104,262.5,97.5,165,0,0,0,0,0
8482-12702,337.5,56.5,79,0,0,0,0,0
8482-12704,41.5,145,103.5,0,0,0,0,0
8482-6103,110,257.5,147.5,0,0,0,0,0
8483-6104,316,74.5,118.5,0,0,0,0,0
8483-9101,275.5,308,32.5,0,0,0,0,0
8484-12701,41.5,170,128.5,0,0,0,0,0
8484-9101,283,265.5,17.5,0,0,0,0,0
8484-9102,128.5,195,66.5,0,0,0,0,0
8485-12704,161,207.5,46.5,0,0,0,0,0
8485-1902,259,23,124,0,0,0,0,0
8485-3701,3,229,134,0,0,0,0,0
8485-3703,227.5,287.5,60,0,0,0,0,0
8485-9101,65,0.5,64.5,0,0,0,0,0
8486-12703,330,268,62,0,0,0,0,0
8486-3701,270,217.5,52.5,0,0,0,0,0
8547-12702,210.5,195,15.5,0,0,0,0,0
8547-12703,47.5,32,15.5,0,0,0,0,0
8547-3701,192,124.5,67.5,0,0,0,0,0
8547-6104,104.5,249.5,145,0,0,0,0,0
8547-9101,138.5,226,87.5,0,0,0,0,0
8548-9101,343,228.5,114.5,0,0,0,0,0
8549-6101,267.5,245.5,22,0,0,0,0,0
8551-6102,131.5,80.5,51,0,0,0,0,0
8551-6103,226,9.5,143.5,0,0,0,0,0
8551-9101,81,102.5,21.5,0,0,0,0,0
8552-3701,30,71,41,0,0,0,0,0
8552-3703,281,216.5,64.5,0,0,0,0,0
8553-12703,345,315,30,0,0,0,0,0
8553-3701,181,121.5,59.5,0,0,0,0,0
8553-3702,322.5,356,33.5,0,0,0,0,0
8554-6102,336,58,82,0,0,0,0,0
8554-6103,214.5,238,23.5,0,0,0,0,0
8554-9102,117,275,158,0,0,0,0,0
8555-12701,77.5,326.5,111,0,0,0,0,0
8555-12704,54.5,158,103.5,0,0,0,0,0
8555-3702,105,201.5,96.5,0,0,0,0,0
8555-3704,275.5,93.5,178,0,0,0,0,0
8555-6103,11.5,108.5,97,0,0,0,0,0
8566-12701,214,123.5,90.5,0,0,0,0,0
8566-1901,71.5,170,98.5,0,0,0,0,0
8566-6104,331.5,47,75.5,0,0,0,0,0
8567-6102,342,33.5,51.5,0,0,0,0,0
8567-6104,256,91.5,164.5,0,0,0,0,0
8567-9101,178,19.5,158.5,0,0,0,0,0
8568-9102,121,32.5,88.5,0,0,0,0,0
8591-12701,62,118.5,56.5,0,0,0,0,0
8591-6102,38,62.5,24.5,0,0,0,0,0
8592-12703,22.5,328,54.5,0,0,0,0,0
8592-12704,112,161,49,0,0,0,0,0
8592-12705,46,147.5,101.5,0,0,0,0,0
8592-3704,258,99,159,0,0,0,0,0
8592-6103,233.5,167,66.5,0,0,0,0,0
8593-1901,236.5,72,164.5,0,0,0,0,0
8593-3701,255.5,348.5,93,0,0,0,0,0
8593-6102,102,322,140,0,0,0,0,0
8595-12701,305,11.5,66.5,0,0,0,0,0
8595-12704,100,229.5,129.5,0,0,0,0,0
8595-6101,174.5,104.5,70,0,0,0,0,0
8595-9101,55.5,161,105.5,0,0,0,0,0
8597-3701,247.5,310.5,63,0,0,0,0,0
8600-9101,132,205,73,0,0,0,0,0
8600-9102,125,172.5,47.5,0,0,0,0,0
8601-12704,107.5,113,5.5,0,0,0,0,0
8601-6102,26.5,92,65.5,0,0,0,0,0
8602-12704,249,6,117,0,0,0,0,0
8602-3703,261,286,25,0,0,0,0,0
8602-3704,187.5,14,173.5,0,0,0,0,0
8604-3704,143.5,200.5,57,0,0,0,0,0
8606-12702,103.5,38.5,65,0,0,0,0,0
8606-12703,243,226,17,0,0,0,0,0
8606-12704,239,257.5,18.5,0,0,0,0,0
8606-3704,93.5,66,27.5,0,0,0,0,0
8606-6103,253.5,212.5,41,0,0,0,0,0
8606-9101,16.5,280,96.5,0,0,0,0,0
8606-9102,250.5,290,39.5,0,0,0,0,0
8611-6104,70.5,30,40.5,0,0,0,0,0
8612-12705,235.5,225.5,10,0,0,0,0,0
8612-3702,338,329.5,8.5,0,0,0,0,0
8612-6103,86,186.5,100.5,0,0,0,0,0
8613-12704,43.5,330,73.5,0,0,0,0,0
8613-6102,222.5,231.5,9,0,0,0,0,0
8614-12701,201,298.5,97.5,0,0,0,0,0
8614-12705,279,257.5,21.5,0,0,0,0,0
8614-1901,135,315,180,0,0,0,0,0
8615-12703,216,200,16,0,0,0,0,0
8615-12704,61.5,77,15.5,0,0,0,0,0
8616-12701,354.5,70.5,76,0,0,0,0,0
8616-12703,236.5,56.5,180,0,0,0,0,0
8616-3702,193.5,47.5,146,0,0,0,0,0
8618-12703,90.5,314,136.5,0,0,0,0,0
8618-12705,21.5,53,31.5,0,0,0,0,0
8619-12704,50.5,100,49.5,0,0,0,0,0
8619-12705,11.5,334.5,37,0,0,0,0,0
8619-6101,98.5,221.5,123,0,0,0,0,0
8619-6104,89,216.5,127.5,0,0,0,0,0
8619-9101,67.5,109,41.5,0,0,0,0,0
8623-12701,342.5,345.5,3,0,0,0,0,0
8623-12705,302,17,75,0,0,0,0,0
8624-12701,130,160,30,0,0,0,0,0
8624-12705,124,149,25,0,0,0,0,0
8624-1902,210.5,359,148.5,0,0,0,0,0
8624-6104,98,347,111,0,0,0,0,0
8625-1902,354.5,163,168.5,0,0,0,0,0
8626-6101,91.5,154,62.5,0,0,0,0,0
8626-9102,,,,0,0,0,0,0
8655-6101,254.5,208.5,46,0,0,0,0,0
8655-9101,240.5,271.5,31,0,0,0,0,0
8656-3701,175.5,283.5,108,0,0,0,0,0
8657-12704,142.5,42.5,100,0,0,0,0,0
8657-12705,32.5,31,1.5,0,0,0,0,0
8657-3703,303.5,288.5,15,0,0,0,0,0
8657-6103,212,176.5,35.5,0,0,0,0,0
8711-12701,257.5,239,18.5,0,0,0,0,0
8711-12702,332,303,29,0,0,0,0,0
8711-12705,328.5,320,8.5,0,0,0,0,0
8711-1901,216.5,328,111.5,0,0,0,0,0
8711-3701,181,152,29,0,0,0,0,0
8711-3703,212,269,57,0,0,0,0,0
8711-6101,43,1,42,0,0,0,0,0
8712-3701,150,105.5,44.5,0,0,0,0,0
8712-9101,133.5,159.5,26,0,0,0,0,0
8712-9102,140,152,12,0,0,0,0,0
8713-3702,225,101.5,123.5,0,0,0,0,0
8713-3703,43,44,1,0,0,0,0,0
8713-6101,5,319,46,0,0,0,0,0
8713-6103,142.5,258,115.5,0,0,0,0,0
8713-9101,35.5,226,169.5,0,0,0,0,0
8714-12701,214.5,223.5,9,0,0,0,0,0
8714-3701,66,260,166,0,0,0,0,0
8714-9102,269,199,70,0,0,0,0,0
8715-12702,80,117,37,0,0,0,0,0
8715-12703,234.5,337,102.5,0,0,0,0,0
8715-3704,289.5,43.5,114,0,0,0,0,0
8716-12701,121,207,86,0,0,0,0,0
8716-12702,232,270.5,38.5,0,0,0,0,0
8716-12705,49,38.5,10.5,0,0,0,0,0
8716-1901,131.5,173,41.5,0,0,0,0,0
8716-3702,174.5,325.5,151,0,0,0,0,0
8716-6104,177.5,354.5,177,0,0,0,0,0
8717-12702,316,282.5,33.5,0,0,0,0,0
8717-12705,197,169,28,0,0,0,0,0
8717-1901,15.5,355.5,20,0,0,0,0,0
8717-1902,135.5,343,152.5,0,0,0,0,0
8717-3702,113.5,84.5,29,0,0,0,0,0
8717-6103,91,67,24,0,0,0,0,0
8717-6104,107.5,43,64.5,0,0,0,0,0
8717-9102,63,341.5,81.5,0,0,0,0,0
8718-3704,343.5,42.5,59,0,0,0,0,0
8718-6103,295,51,116,0,0,0,0,0
8719-9101,22,3.5,18.5,0,0,0,0,0
8720-12703,351,262.5,88.5,0,0,0,0,0
8720-12705,65,169,104,0,0,0,0,0
8720-6101,25,91,66,0,0,0,0,0
8720-6104,353.5,44,50.5,0,0,0,0,0
8720-9101,222.5,118.5,104,0,0,0,0,0
8721-12701,275.5,188,87.5,0,0,0,0,0
8721-12704,227,75.5,151.5,0,0,0,0,0
8721-3704,289,32.5,103.5,0,0,0,0,0
8721-9102,49.5,117,67.5,0,0,0,0,0
8722-12701,170.5,283.5,113,0,0,0,0,0
8722-3703,158,333.5,175.5,0,0,0,0,0
8722-3704,107.5,333.5,134,0,0,0,0,0
8722-6102,243,24.5,141.5,0,0,0,0,0
8722-9101,191,298,107,0,0,0,0,0
8723-9101,144,131,13,0,0,0,0,0
8724-12702,37.5,350.5,47,0,0,0,0,0
8724-12704,297,4.5,67.5,0,0,0,0,0
8725-12702,6.5,343.5,23,0,0,0,0,0
