plateifu,stellar_pa,halpha_pa,classification,STEL_QUAL,GAS_QUAL,STEL_FEATURE,GAS_FEATURE,GAS_NOTES
7495-12703,16.5,16.0,3,2,2,0,0,0
7495-12704,352.0,353.0,3,2,2,0,0,0
7495-1902,202.0,28.5,3,2,2,0,0,0
7495-3701,157.0,158.5,3,2,2,0,0,0
7495-3702,229.5,226.0,3,2,2,0,0,0
7495-3703,158.0,139.0,3,2,2,0,0,0
7495-6101,328.5,325.0,3,2,2,0,0,0
7495-9102,104.5,103.5,3,2,2,0,0,0
7815-12704,80.5,74.5,3,2,2,0,0,0
7815-12705,323.5,319.0,3,2,2,0,0,0
7815-3702,167.0,167.5,3,2,2,0,0,0
7815-6103,349.0,349.0,3,2,2,0,0,0
7815-6104,256.0,253.5,3,2,2,0,0,0
7815-9101,301.0,306.0,3,2,2,0,0,0
7815-9102,69.5,80.5,3,2,2,0,0,0
7957-12702,301.5,297.0,3,2,2,0,0,0
7957-12703,117.0,115.5,3,2,2,0,0,0
7957-12704,215.0,208.5,3,2,2,0,0,0
7957-12705,209.0,209.0,3,2,2,0,0,0
7957-3701,12.5,17.0,3,2,2,0,0,0
7957-3703,245.0,252.0,3,2,2,0,0,0
7957-3704,202.0,198.0,3,2,2,0,0,0
7957-6102,32.5,213.0,3,2,2,0,0,0
7957-9102,235.0,241.0,3,2,2,0,0,0
7958-12704,285.5,287.5,3,2,2,0,0,0
7958-12705,170.0,166.5,3,2,2,0,0,0
7958-3702,321.5,320.5,3,2,2,0,0,0
7958-3703,281.5,281.5,3,2,2,0,0,0
7958-6101,154.0,155.5,3,2,2,0,0,0
7960-12701,84.5,83.5,3,2,2,0,0,0
7960-12702,195.0,187.5,3,2,2,0,0,0
7960-12703,320.5,322.0,3,2,2,0,0,0
7960-12704,63.0,61.0,3,2,2,0,0,0
7960-12705,161.5,159.5,3,2,2,0,0,0
7960-3702,248.0,246.5,3,2,2,0,0,0
7962-12702,207.0,208.5,3,2,2,0,0,0
7962-12703,41.5,42.0,3,2,2,0,0,0
7962-12704,85.5,86.5,3,2,2,0,0,0
7962-12705,208.0,219.5,3,2,2,0,0,0
7962-6102,337.5,340.0,3,2,2,0,0,0
7962-6104,289.5,292.0,3,2,2,0,0,0
7964-12703,187.0,178.0,3,2,2,0,0,0
7964-12704,68.5,65.0,3,2,2,0,0,0
7964-12705,187.5,181.0,3,2,2,0,0,0
7964-3702,244.5,160.5,3,2,2,0,0,0
7964-6101,51.5,55.0,3,2,2,0,0,0
7964-6104,191.5,191.5,3,2,2,0,0,0
7964-9101,113.0,117.5,3,2,2,0,0,0
7964-9102,243.5,231.0,3,2,2,0,0,0
7968-12701,47.5,49.5,3,2,2,0,0,0
7968-12702,211.0,216.5,3,2,2,0,0,0
7968-12703,292.0,293.5,3,2,2,0,0,0
7968-1901,17.0,322.5,3,2,2,0,0,0
7968-1902,219.5,224.0,3,2,2,0,0,0
7968-6101,327.0,326.5,3,2,2,0,0,0
7968-6102,165.0,163.0,3,2,2,0,0,0
7968-9101,239.0,240.0,3,2,2,0,0,0
