plateifu,stellar_pa,halpha_pa,classification,STEL_QUAL,GAS_QUAL,STEL_FEATURE,GAS_FEATURE,GAS_NOTES
7975-3703,226.5,326.0,2,2,0,0,0,1
7975-6101,47.0,350.5,2,1,0,0,0,1
7977-6101,147.0,105.5,2,1,0,0,0,3
7977-6104,218.5,244.5,2,2,0,0,0,3
7979-12702,319.0,85.5,2,2,0,0,0,1
7979-1901,334.5,50.0,2,1,0,0,0,1
7979-3701,71.5,262.5,2,1,0,0,0,1
7979-3702,276.0,188.5,2,1,0,0,0,1
7979-3704,34.5,268.0,2,1,0,0,0,1
7979-6104,311.0,335.5,2,1,0,0,0,1
7990-9102,60.5,107.5,2,1,0,0,0,3
7991-3701,283.5,245.0,2,1,0,0,0,1
7991-3703,44.0,61.0,2,2,0,0,0,2
7991-6102,228.0,186.5,2,1,0,0,0,1
7993-1901,228.0,126.0,2,2,0,0,0,1
7993-3702,139.5,88.5,2,2,0,0,0,3
8077-1902,306.5,22.0,2,1,0,0,0,2
8077-3703,158.0,8.5,2,2,0,0,0,1
8078-1901,21.0,299.5,2,1,0,0,0,1
8079-3701,130.5,7.5,2,1,0,0,0,2
8079-3703,100.5,77.0,2,2,0,0,0,2
8079-3704,119.0,212.0,2,2,0,0,0,1
8079-6102,103.0,169.0,2,2,0,0,0,2
8080-6102,234.5,66.0,2,2,0,0,0,2
8081-3701,238.0,327.5,2,2,0,0,0,2
8082-1902,287.5,297.5,2,2,0,0,0,1
8082-3704,158.0,115.0,2,1,0,0,0,3
8082-6104,170.0,277.0,2,1,0,0,0,3
8084-3703,304.0,319.5,2,2,0,0,0,1
8085-1901,205.0,133.5,2,1,0,0,0,1
8085-1902,132.5,170.0,2,2,0,0,0,1
8085-3703,164.0,11.5,2,1,0,0,0,1
8085-6102,173.0,215.0,2,1,0,0,0,2
8085-6103,265.0,227.5,2,2,0,0,0,2
8085-9101,272.5,147.0,2,2,0,0,0,1
8086-3701,346.0,268.0,2,2,0,0,0,1
